Interval=	2.5e-005 s																					
ExcelDateTime=	4.46E+04	17:28.0																				
TimeFormat=	StartOfBlock																					
DateFormat=																						
ChannelTitle=	Stimulus	BioAmp Recording																				
Range=	1000.0 mV	500.0 ?V																				
0.00705	0.4375	-112.375																				
0.007075	0.4375	-112.9531																		Interval=	2.5e-005 s	
0.0071	0.4375	-113.5469																		ExcelDateTime=	4.46E+04	22:23.7
0.009825	0.4375	-194.3438																		0.0097	0.4375	-106.9219
0.00985	0.4375	-195.6563																		0.0097	0.4375	-109.4531
0.009875	0.4375	-196.5938																		0.0097	0.4375	-111.9063
0.0099	0.4375	-197.125																		0.0097	0.4375	-114.25
0.009925	0.4375	-197.25																		0.0098	0.4375	-116.5313
																				0.0098	0.4375	-118.7813
																				0.0098	0.4375	-120.9688
																				0.0098	0.4375	-123.125
																				0.0099	0.4375	-125.2344
																				0.0099	0.4375	-127.25
																				0.0099	0.4375	-129.1563
																				0.0099	0.4375	-130.9219
