Interval=	0.0025 s
ExcelDateTime=	4.6071577265787841e+004	2/18/2026 13:51:15.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
271.58	-28.33125
271.5825	-27.4125
271.585	-28.94375
271.5875	-32.55625
271.59	-35.76875
271.5925	-37.31875
271.595	-37.26875
271.5975	-36.38125
271.6	-36.18125
271.6025	-37.65
271.605	-39.78125
271.6075	-40.2875
271.61	-38.2875
271.6125	-35.6375
271.615	-34.075
271.6175	-33.5875
271.62	-34.0375
271.6225	-35.55
271.625	-37.03125
271.6275	-37.125
271.63	-36.13125
271.6325	-35.3125
271.635	-35.925
271.6375	-38.3375
271.64	-41.30625
271.6425	-43.00625
271.645	-42.86875
271.6475	-40.75625
271.65	-37.45
271.6525	-35.96875
271.655	-37.90625
271.6575	-40.3125
271.66	-39.64375
271.6625	-36.20625
271.665	-32.4875
271.6675	-29.375
271.67	-25.66875
271.6725	-21.4625
271.675	-19.0125
271.6775	-19.2125
271.68	-20.275
271.6825	-20.76875
271.685	-21.79375
271.6875	-23.975
271.69	-25.21875
271.6925	-24.41875
271.695	-24.09375
271.6975	-26.39375
271.7	-30.30625
271.7025	-33.55
271.705	-34.83125
271.7075	-34.29375
271.71	-31.91875
271.7125	-27.6125
271.715	-23.73125
271.7175	-23.45
271.72	-25.7375
271.7225	-26.95
271.725	-26.09375
271.7275	-25.1125
271.73	-25.86875
271.7325	-28.4375
271.735	-31.76875
271.7375	-35.0875
271.74	-37.1
271.7425	-35.7125
271.745	-31.0375
271.7475	-26.04375
271.75	-22.25625
271.7525	-18.2625
271.755	-12.95
271.7575	-8.0625
271.76	-6.6375
271.7625	-8.95
271.765	-12.09375
271.7675	-13.99375
271.77	-14.89375
271.7725	-15.5875
271.775	-16.375
271.7775	-16.7875
271.78	-15.825
271.7825	-13.20625
271.785	-10.75625
271.7875	-11.2625
271.79	-14.90625
271.7925	-18.68125
271.795	-20.5375
271.7975	-21.23125
271.8	-21.4125
271.8025	-20.69375
271.805	-19.18125
271.8075	-17.59375
271.81	-16
271.8125	-14.5625
271.815	-14.525
271.8175	-16.14375
271.82	-17.95
271.8225	-18.95625
271.825	-19.4
271.8275	-19.025
271.83	-16.875
271.8325	-12.975
271.835	-9.075
271.8375	-6.86875
271.84	-7.2
271.8425	-10.075
271.845	-12.81875
271.8475	-12.05625
271.85	-9.175
271.8525	-7.53125
271.855	-6.8125
271.8575	-5.2625
271.86	-2.98125
271.8625	-1.6125
271.865	-2.75625
271.8675	-5.75
271.87	-8.23125
271.8725	-9.30625
271.875	-9.525
271.8775	-8.8875
271.88	-7.20625
271.8825	-5.49375
271.885	-5.80625
271.8875	-8.79375
271.89	-11.7875
