Interval=	0.0025 s
ExcelDateTime=	4.3516512530854234e+004	2/20/2019 12:18:02.665806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
2.1675	-23.8
2.17	-25.48125
2.1725	-25.9
2.175	-22.55
2.1775	-17.31875
2.18	-14.85625
2.1825	-16.8875
2.185	-22.11875
2.1875	-27.49375
2.19	-28.80625
2.1925	-24.9125
2.195	-19.20625
2.1975	-15.60625
2.2	-16.34375
2.2025	-22.15625
2.205	-29.08125
2.2075	-29.99375
2.21	-23.275
2.2125	-14.74375
2.215	-11.20625
2.2175	-14.80625
2.22	-21.475
2.2225	-25.20625
2.225	-23.8375
2.2275	-19.69375
2.23	-17.025
2.2325	-18.1375
2.235	-20.40625
2.2375	-19.9
2.24	-16.03125
2.2425	-10.45625
2.245	-5.7625
2.2475	-4.95625
2.25	-9.34375
2.2525	-17.05
2.255	-23.48125
2.2575	-23.85
2.26	-17.5875
2.2625	-9.49375
2.265	-4.58125
2.2675	-3.69375
2.27	-5.3375
2.2725	-7.89375
2.275	-9.15
2.2775	-7.39375
2.28	-4.13125
2.2825	-3.375
2.285	-7.4375
2.2875	-13.0125
2.29	-14.56875
2.2925	-12.1375
2.295	-10.9
2.2975	-13.76875
2.3	-19.38125
2.3025	-25.8
2.305	-30.9
2.3075	-31.3625
2.31	-26.0125
2.3125	-19.375
2.315	-17.175
2.3175	-20.075
2.32	-24.44375
2.3225	-25.8875
2.325	-21.40625
2.3275	-12.45
2.33	-4.8125
2.3325	-2.4125
2.335	-2.8375
2.3375	-1.84375
2.34	0.15
2.3425	-0.25
2.345	-4.35625
2.3475	-11.14375
2.35	-19.4
2.3525	-27.63125
2.355	-33.05625
2.3575	-32.35625
2.36	-25.0125
2.3625	-14.73125
2.365	-6.25
2.3675	-2.75
2.37	-5.04375
2.3725	-10.0375
2.375	-12.4125
2.3775	-10.9
2.38	-10.34375
2.3825	-15.1875
2.385	-24.0375
2.3875	-31.7125
2.39	-33.61875
2.3925	-28.50625
2.395	-19.9375
2.3975	-14.5625
2.4	-16.39375
2.4025	-23.475
2.405	-30.3
2.4075	-32.3625
2.41	-29.7625
2.4125	-26.525
2.415	-25.84375
2.4175	-27.43125
2.42	-29.10625
2.4225	-27.64375
2.425	-19.46875
2.4275	-4.19375
2.43	12.525
2.4325	22.65625
2.435	22.6375
2.4375	15.2
2.44	6.525
2.4425	2.16875
2.445	2.9
2.4475	4.68125
2.45	3.5875
2.4525	-0.825
2.455	-5.86875
2.4575	-7.85625
2.46	-6.0375
2.4625	-4.34375
2.465	-6.8125
2.4675	-13.2
2.47	-20.25
2.4725	-24.35
2.475	-23.06875
2.4775	-17.1875
2.48	-11.1375
2.4825	-10.4125
2.485	-16.81875
2.4875	-25.44375
2.49	-29.39375
2.4925	-27.48125
2.495	-24.66875
2.4975	-25.8375
2.5	-31.5625
2.5025	-38.54375
2.505	-42.03125
2.5075	-39.375
2.51	-32.74375
2.5125	-27.43125
2.515	-26.60625
2.5175	-29.00625
2.52	-31.4625
2.5225	-31.5
2.525	-28.2125
2.5275	-23.31875
2.53	-21.31875
2.5325	-25.41875
2.535	-33.11875
2.5375	-38.35625
2.54	-37.6125
2.5425	-32.775
2.545	-28.575
2.5475	-28.1625
2.55	-31.05
2.5525	-34.43125
2.555	-35.125
2.5575	-31.86875
2.56	-26.05
2.5625	-19.625
2.565	-15.08125
2.5675	-14.625
2.57	-17.94375
2.5725	-22.41875
2.575	-24.7125
2.5775	-23
2.58	-19.4875
2.5825	-18.85625
2.585	-23.20625
2.5875	-29.7375
2.59	-33.7625
2.5925	-34.1125
2.595	-33.14375
2.5975	-32.89375
2.6	-33.475
2.6025	-33.64375
2.605	-31.80625
2.6075	-25.8125
2.61	-14.55
2.6125	-1.9875
2.615	4.48125
2.6175	1.29375
2.62	-9.2375
2.6225	-21.71875
2.625	-30.925
2.6275	-35.41875
2.63	-37.50625
2.6325	-38.60625
2.635	-37.91875
2.6375	-34.7875
2.64	-28.58125
2.6425	-19.38125
2.645	-10.325
2.6475	-5.575
2.65	-5.68125
2.6525	-6.825
2.655	-5.7
2.6575	-3.15
2.66	-1.975
2.6625	-3.825
2.665	-9.04375
2.6675	-16.83125
2.67	-24.75
2.6725	-29.78125
2.675	-30.41875
2.6775	-27.71875
2.68	-24.65625
2.6825	-23.725
2.685	-25.21875
2.6875	-27.55625
2.69	-27.925
2.6925	-23.50625
2.695	-15.2
2.6975	-8.45
2.7	-7.63125
2.7025	-11.6625
2.705	-15.64375
2.7075	-16.4
2.71	-15.44375
2.7125	-15.9625
2.715	-18.90625
2.7175	-22.88125
2.72	-26.09375
2.7225	-27.05
2.725	-24.88125
2.7275	-20.40625
2.73	-16.08125
2.7325	-13.36875
2.735	-12.11875
2.7375	-12.18125
2.74	-12.51875
2.7425	-10.81875
2.745	-7.19375
2.7475	-5.65625
2.75	-9.225
2.7525	-16.225
2.755	-22.075
2.7575	-23.50625
2.76	-21.06875
2.7625	-17.95625
2.765	-16.5375
2.7675	-17.225
2.77	-20.0125
2.7725	-23.50625
2.775	-23.93125
2.7775	-18.775
2.78	-10.33125
2.7825	-3.53125
2.785	-1.8
2.7875	-5.025
2.79	-10.03125
2.7925	-13.3
2.795	-13.65625
2.7975	-12.475
2.8	-11.8625
2.8025	-12.00625
2.805	-10.33125
2.8075	-5.4
2.81	-1.2
2.8125	-2.4
2.815	-8.0125
2.8175	-13.90625
2.82	-17.85625
2.8225	-18.7375
2.825	-15.14375
2.8275	-7.60625
2.83	2.43125
2.8325	14.3625
2.835	24.33125
2.8375	23.975
2.84	10.43125
2.8425	-8.0875
2.845	-21.4125
2.8475	-27.1125
2.85	-28.23125
2.8525	-26.78125
2.855	-23.96875
2.8575	-22.8375
2.86	-23.6
2.8625	-21.275
2.865	-13.8875
2.8675	-7.35625
