Interval=	0.0025 s
ExcelDateTime=	4.3516510790784792e+004	2/20/2019 12:15:32.323806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.9425	-62.63125
1.945	-66.01875
1.9475	-66.95
1.95	-63.90625
1.9525	-58.675
1.955	-54.4875
1.9575	-54.00625
1.96	-57.54375
1.9625	-62.2875
1.965	-65.13125
1.9675	-64.675
1.97	-61.3375
1.9725	-57.29375
1.975	-54.9
1.9775	-54.26875
1.98	-53.15625
1.9825	-49.0125
1.985	-42.1875
1.9875	-37.025
1.99	-37.4625
1.9925	-43.36875
1.995	-50.6125
1.9975	-53.64375
2	-50.48125
2.0025	-44.35
2.005	-39.9625
2.0075	-39.68125
2.01	-42.9625
2.0125	-47.3125
2.015	-49.59375
2.0175	-48.175
2.02	-44.84375
2.0225	-43.775
2.025	-46.525
2.0275	-49.64375
2.03	-48.34375
2.0325	-41.53125
2.035	-32.68125
2.0375	-26.93125
2.04	-27.9875
2.0425	-35.5
2.045	-45.2625
2.0475	-51.61875
2.05	-51.46875
2.0525	-47.48125
2.055	-45.40625
2.0575	-47.875
2.06	-52.2375
2.0625	-53.5625
2.065	-48.80625
2.0675	-39.725
2.07	-30.8375
2.0725	-26.21875
2.075	-28.2625
2.0775	-35.25
2.08	-41.91875
2.0825	-44.21875
2.085	-41.7
2.0875	-37.15
2.09	-35.475
2.0925	-39.13125
2.095	-43.61875
2.0975	-43.65
2.1	-40.8375
2.1025	-39.01875
2.105	-37.5625
2.1075	-35.025
2.11	-33.625
2.1125	-35.81875
2.115	-40.6375
2.1175	-44.8375
2.12	-46.9125
2.1225	-47.74375
2.125	-48.35
2.1275	-48.75625
2.13	-47.60625
2.1325	-43.40625
2.135	-37.2125
2.1375	-32.6875
2.14	-32.6625
2.1425	-36.1
2.145	-39.08125
2.1475	-39.4125
2.15	-37.84375
2.1525	-36.50625
2.155	-37.1875
2.1575	-39.14375
2.16	-40.59375
2.1625	-42.125
2.165	-43.94375
2.1675	-43.25625
2.17	-39.2125
2.1725	-35.41875
2.175	-35.25625
2.1775	-38.1375
2.18	-41.025
2.1825	-41.94375
2.185	-41.35625
2.1875	-41.6375
2.19	-43.60625
2.1925	-45.3625
2.195	-45.9125
2.1975	-44.925
2.2	-39.91875
2.2025	-30.53125
2.205	-22.39375
2.2075	-20.9625
2.21	-25.025
2.2125	-29.68125
2.215	-31.9
2.2175	-32.0125
2.22	-32.5625
2.2225	-36.3
2.225	-43.23125
2.2275	-49.725
2.23	-51.41875
2.2325	-47.4125
2.235	-41.15
2.2375	-36.4
2.24	-34.35625
2.2425	-34.91875
2.245	-36.38125
2.2475	-34.6
2.25	-26.825
2.2525	-15.63125
2.255	-6.275
2.2575	-1.525
2.26	-1.175
2.2625	-3.7125
2.265	-6.74375
2.2675	-8.88125
2.27	-11.45625
2.2725	-15.5625
2.275	-19.825
2.2775	-22.3875
2.28	-22.48125
2.2825	-20.625
2.285	-18.65
2.2875	-18.4125
2.29	-20.3
2.2925	-22.6625
2.295	-23.69375
2.2975	-23.68125
2.3	-23.575
2.3025	-23.85625
2.305	-25.96875
2.3075	-30.33125
2.31	-34.18125
2.3125	-35.2875
2.315	-34.40625
2.3175	-33.175
2.32	-32.325
2.3225	-32.73125
2.325	-36.125
2.3275	-41.58125
2.33	-43.95625
2.3325	-40.475
2.335	-34.8625
2.3375	-32.33125
2.34	-35.05625
2.3425	-41.44375
2.345	-47.1375
2.3475	-48.66875
2.35	-45.45625
2.3525	-39.73125
2.355	-35.1
2.3575	-32.925
2.36	-31.3125
2.3625	-28.26875
2.365	-24.3125
2.3675	-21.61875
2.37	-20.94375
2.3725	-21.65
2.375	-24.74375
2.3775	-31.40625
2.38	-38.78125
2.3825	-42.05
2.385	-40.7125
2.3875	-38.76875
2.39	-38.35
2.3925	-37.6375
2.395	-35.6125
2.3975	-33.65
2.4	-32.51875
2.4025	-31.45
2.405	-29.7875
2.4075	-28.325
2.41	-28.79375
2.4125	-31.63125
2.415	-34.29375
2.4175	-34.19375
2.42	-32.3
2.4225	-31.3875
2.425	-32.375
2.4275	-34.71875
2.43	-37.35625
2.4325	-38.35625
2.435	-36.9625
2.4375	-35.5875
2.44	-36.075
2.4425	-36.35625
2.445	-34.23125
2.4475	-30.15
2.45	-24.30625
2.4525	-16.80625
2.455	-10.25
2.4575	-8.1125
2.46	-11.85
2.4625	-19.1125
2.465	-24.2125
2.4675	-24.06875
2.47	-22.39375
2.4725	-24.5375
2.475	-30.425
2.4775	-35.2
2.48	-35.1125
2.4825	-31.4
2.485	-27.28125
2.4875	-23.8875
2.49	-21.65625
2.4925	-22.08125
2.495	-24.9375
2.4975	-27.425
2.5	-27.50625
2.5025	-25.63125
2.505	-24.28125
2.5075	-25.25625
2.51	-27.4625
2.5125	-28.24375
2.515	-25.8625
2.5175	-19.14375
2.52	-8.5
2.5225	0.46875
2.525	0.15
2.5275	-10.4875
2.53	-24.75625
2.5325	-35.70625
2.535	-40.01875
2.5375	-37.9625
2.54	-33.125
2.5425	-29.85
2.545	-29.3875
2.5475	-30.00625
2.55	-30.46875
2.5525	-30.8875
2.555	-30.575
2.5575	-28.875
2.56	-27.50625
2.5625	-27.6375
2.565	-27.525
2.5675	-25.6
2.57	-22.13125
2.5725	-17.96875
2.575	-15.26875
2.5775	-16.66875
2.58	-21.30625
2.5825	-25.9375
2.585	-28.575
2.5875	-29.4
2.59	-29.49375
2.5925	-29.24375
2.595	-27.88125
2.5975	-24.66875
2.6	-19.71875
2.6025	-14.375
2.605	-10.90625
2.6075	-9.3125
2.61	-7.5375
2.6125	-4.5625
2.615	-0.9875
2.6175	1.9875
2.62	2.4
2.6225	-1.2125
2.625	-7.56875
2.6275	-13.59375
2.63	-17.1375
2.6325	-17.01875
2.635	-12.875
2.6375	-7.56875
2.64	-5.13125
2.6425	-5.91875
2.645	-7.525
2.6475	-8.59375
2.65	-8.675
2.6525	-8.05
2.655	-8.68125
2.6575	-12.525
2.66	-19.41875
2.6625	-28.025
2.665	-35.8125
2.6675	-39.25625
2.67	-38.16875
2.6725	-36.5625
2.675	-37.15
2.6775	-38.68125
2.68	-38.04375
2.6825	-33.7625
2.685	-28.2625
2.6875	-25.21875
2.69	-24.9
2.6925	-24.8125
2.695	-23.04375
2.6975	-20.35
2.7	-19.275
2.7025	-20.15625
2.705	-20.93125
2.7075	-21.6
2.71	-23.45625
2.7125	-24.3125
2.715	-21.1
2.7175	-15.65
2.72	-13.5875
2.7225	-17.89375
2.725	-26.825
2.7275	-36.6875
2.73	-43.675
2.7325	-44.79375
2.735	-40.48125
2.7375	-34.33125
2.74	-29.9625
2.7425	-28.725
2.745	-28.95625
2.7475	-28.00625
2.75	-24.95
2.7525	-21.11875
2.755	-18.075
2.7575	-16.65625
2.76	-17.025
2.7625	-18.09375
2.765	-18.69375
2.7675	-19.05625
2.77	-20.08125
2.7725	-21.41875
2.775	-22.1
2.7775	-21.95625
2.78	-20.625
2.7825	-18.05625
2.785	-15.175
2.7875	-12.8875
2.79	-11.5875
2.7925	-11.6625
2.795	-12.2125
2.7975	-11.4875
2.8	-9.2
2.8025	-6.475
2.805	-4.54375
2.8075	-4.125
2.81	-5.66875
2.8125	-8.025
2.815	-8.3875
2.8175	-5.95625
2.82	-3.60625
2.8225	-3.45625
2.825	-3.86875
2.8275	-3.18125
2.83	-1.96875
2.8325	-0.39375
2.835	2.41875
2.8375	5.6125
2.84	7.4875
2.8425	7.56875
2.845	6.30625
2.8475	5.2125
2.85	5.44375
2.8525	6.2125
2.855	5.875
2.8575	2.91875
2.86	-2.925
2.8625	-9.03125
2.865	-12.21875
2.8675	-12.95625
2.87	-13.46875
2.8725	-13.775
2.875	-12.0875
2.8775	-8.56875
2.88	-6.7625
2.8825	-8.9375
2.885	-13.05
2.8875	-16.2
2.89	-17.66875
2.8925	-17.5375
2.895	-16.225
2.8975	-14.4875
2.9	-12.64375
2.9025	-11.3875
2.905	-12.275
2.9075	-15.96875
2.91	-20.63125
2.9125	-23.25625
2.915	-21.98125
2.9175	-17.625
2.92	-14.0125
2.9225	-14.70625
2.925	-18.075
2.9275	-19.7375
2.93	-17.55625
2.9325	-12.13125
2.935	-6.4375
2.9375	-4.59375
2.94	-7.425
2.9425	-12.05
2.945	-15.475
2.9475	-16.46875
2.95	-15.90625
2.9525	-15.45
2.955	-16.55625
2.9575	-20.1125
2.96	-24.675
2.9625	-26.85625
2.965	-25.05
2.9675	-20.55625
2.97	-16.24375
2.9725	-14.8625
2.975	-18.21875
2.9775	-25.66875
2.98	-32.46875
2.9825	-34.1875
2.985	-31.59375
2.9875	-28.1
2.99	-26.46875
2.9925	-28.125
2.995	-30.8
2.9975	-30.8125
3	-28.26875
3.0025	-25.6
3.005	-23.625
3.0075	-21.15625
3.01	-16.3
3.0125	-8.2875
3.015	0.0125
3.0175	2.6375
3.02	-2.88125
3.0225	-11.2625
3.025	-16.45625
3.0275	-17.93125
3.03	-17.3375
3.0325	-14.725
3.035	-10.96875
3.0375	-9.35625
3.04	-11.70625
3.0425	-15.325
3.045	-17.0625
3.0475	-17.45
3.05	-18.05
3.0525	-18.75625
3.055	-19.21875
3.0575	-19.35625
3.06	-19.4
3.0625	-19.7875
3.065	-20.175
3.0675	-20.5875
3.07	-21.48125
3.0725	-22.525
3.075	-23.16875
3.0775	-23.2625
3.08	-21.78125
3.0825	-17.4625
3.085	-10.89375
3.0875	-4.89375
3.09	-2.775
3.0925	-5.025
3.095	-8.7875
3.0975	-10.7
3.1	-9.9
3.1025	-9.48125
3.105	-13.05625
3.1075	-19.725
3.11	-25.50625
3.1125	-28.05625
3.115	-26.83125
3.1175	-21.8125
3.12	-15.50625
3.1225	-11.8375
3.125	-11.73125
3.1275	-13.9625
3.13	-17.7375
3.1325	-21.46875
3.135	-23.0375
3.1375	-23.05625
3.14	-22.93125
3.1425	-22.475
3.145	-21.56875
3.1475	-20.2875
3.15	-18.3125
3.1525	-15.84375
3.155	-13.9125
3.1575	-12.84375
3.16	-11.6875
3.1625	-9.375
3.165	-6.175
3.1675	-3.66875
3.17	-3.59375
3.1725	-7.125
3.175	-12.89375
3.1775	-18.15625
3.18	-21.86875
3.1825	-24.0625
3.185	-24.7375
3.1875	-25.0625
3.19	-26.05625
3.1925	-26.9
3.195	-27.1625
3.1975	-26.75625
3.2	-25.125
3.2025	-22.56875
3.205	-20.425
3.2075	-19.40625
3.21	-19.45
3.2125	-20.3625
3.215	-21.675
3.2175	-21.69375
3.22	-19.15625
